,영화명,대표국적,배급사,감독,배우1,배우2,배우3
213,취한 말들을 위한 시간,기타,㈜영화사 백두대간,바흐만 고바디,로진 요우네시,아윱 아마디,
214,리지 맥과이어,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,짐 펄,힐러리 더프,야니 겔만,아담 램버그
215,최후의 만찬,한국,아우라엔터테인먼트,손영호,이종원,김보성,조윤희
216,키다리 아저씨,한국,CJ ENM,공정식,하지원,연정훈,신이
217,브링 다운 더 하우스,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,아담 쉥크만,스티브 마틴,퀸 라티파,유진 레비
218,지옥갑자원,일본,(주)영화사한결,야마구치 유다이,사카구치 타크,이토 아츠시,사카키 히데오
219,써클,한국,비엠,박승배,강수연,정웅인,최정윤
220,베로니카 게린,기타,한국소니픽쳐스릴리징브에나비스타영화㈜,조엘 슈마허,케이트 블란쳇,,
221,케이트 앤 레오폴드,미국,이십세기폭스코리아(주),제임스 맨골드,맥 라이언,휴 잭맨,
222,인터스테이트,미국,프라임픽쳐스,밥 게일,제임스 마스던,게리 올드만,
223,엘시드 - 전설의 영웅,기타,아우라엔터테인먼트,호셉 포조,나탈리아 버베크,산초 가르시아,마넬 프엔티스
224,카란디루,기타,한국소니픽쳐스릴리징브에나비스타영화㈜,헥터 바벤코,루이즈 카를로스 바스콘셀로스,밀헴 코타즈,
225,깝스,기타,인터비스앤파트너스(주),요제프 파레스,토켈 페터슨,파레스 파레스,
226,동갑내기 과외하기,한국,CJ ENM,김경형,김하늘,권상우,공유
227,달은...해가 꾸는 꿈,한국,,박찬욱,이승철,나현희,송승환
228,카우보이 비밥-천국의문,일본,콜럼비아트라이스타㈜,와타나베 신이치로,이시즈카 운쇼,야마데라 코이치,
229,복수는 나의 것,한국,CJ ENM,박찬욱,신하균,송강호,배두나
230,반지의 제왕 : 두개의 탑,미국,워너브러더스 코리아(주),피터 잭슨,일라이저 우드,이안 맥켈런,비고 모텐슨
231,정사2,기타,,미나 비르타넨,미 그론룬드,닉케 리그넬,
232,음양사2,일본,(주)아펙스 엔터테인먼트,타키타 요지로,후카다 쿄코,노무라 만사이,
233,3인조,한국,,박찬욱,이경영,김민종,정선경
234,반지의 제왕 : 반지원정대,미국,워너브러더스 코리아(주),피터 잭슨,일라이저 우드,이안 맥켈런,비고 모텐슨
235,미로,프랑스,(주)씨네진,르네 망조르,실비 테스튀,램버트 윌슨,
236,살인의 추억,한국,CJ ENM,봉준호,송강호,김상경,김뢰하
237,웰컴 프레지던트,미국,,도널드 페트리,레이 로마노,,
238,햄릿 2000,미국,,케네스 브래너,에단 호크,케네스 브래너,카일 맥라클란
239,킬러들의 수다,한국,(주)시네마서비스,장진,정진영,원빈,신현준
240,아저씨 우리 결혼할까요?,기타,씨네파크,완세생,채탁연,정이건,오요한
241,기브 잇 올,일본,,이소무라 이츠미치,시미즈 마미,타나카 레나,
242,어머! 물고기가 됐어요,기타,시나브로엔터테인먼트(주),마이클 헤그너,테리 존스,알란 릭맨,
243,블루베리,프랑스,,얀 쿠넹,뱅상 카셀,줄리엣 루이스,마이클 매드슨
244,천지영웅,기타,한국소니픽쳐스릴리징브에나비스타영화㈜,하평,조미,쟝 웬(강문),왕학기
246,공동경비구역 JSA,한국,CJ ENM,박찬욱,송강호,이병헌,이영애
259,괴물,한국,(주)쇼박스,봉준호,송강호,변희봉,박해일
260,왕의 남자,한국,(주)시네마서비스,이준익,감우성,이준기,유해진
261,웰컴 투 동막골,한국,(주)쇼박스,박광현,신하균,정재영,강혜정
262,타짜,한국,CJ ENM,최동훈,조승우,김혜수,백윤식
263,미션 임파서블 3,미국,UIP코리아,J.J. 에이브럼스,톰 크루즈,필립 세이모어 호프만,
264,투사부일체,한국,CJ ENM,김동원,정준호,정웅인,김상중
265,가문의 위기(가문의 영광2),한국,(주)쇼박스,정용기,신현준,김수미,김원희
266,말아톤,한국,(주)쇼박스,정윤철,조승우,김미숙,이진영
267,캐리비안의 해적 : 망자의 함,미국,브에나비스타인터내셔널코리아,고어 버빈스키,조니 뎁,올랜도 블룸,
268,태풍,한국,CJ ENM,곽경택,김혜정,김원진,이정재
269,킹콩,미국,UIP코리아,피터 잭슨,잭 블랙,애드리언 브로디,나오미 왓츠
270,미녀는 괴로워,한국,(주)쇼박스,김용화,김아중,주진모,김현숙
271,해리 포터와 불의 잔,미국,워너브러더스 코리아(주),마이크 뉴웰,다니엘 래드클리프,루퍼트 그린트,엠마 왓슨
272,한반도,한국,CJ ENM,강우석,조재현,안성기,차인표
273,아일랜드,미국,워너브러더스 코리아(주),마이클 베이,이완 맥그리거,,
274,공공의 적 2,한국,(주)시네마서비스,강우석,설경구,정준호,유해진
275,친절한 금자씨,한국,CJ ENM,박찬욱,이영애,최민식,권예영
276,다빈치 코드,미국,소니픽쳐스릴리징코리아,론 하워드,톰 행크스,오드리 토투,
277,미스터 & 미세스 스미스,미국,이십세기폭스필름코퍼레이션,더그 라이만,안젤리나 졸리,브래드 피트,빈스 본
278,너는 내 운명,한국,CJ ENM,박진표,전도연,황정민,나문희
279,우주전쟁,미국,UIP코리아,스티븐 스필버그,톰 크루즈,저스틴 채트윈,다코타 패닝
280,마파도,한국,CJ ENM,추창민,김수미,여운계,이정진
281,박물관이 살아있다!,미국,이십세기폭스코리아(주),숀 레비,벤 스틸러,로빈 윌리엄스,
282,가문의 부활 - 가문의 영광3,한국,(주)쇼박스,정용기,신현준,김원희,김수미
283,우리들의 행복한 시간,한국,(주)프라임엔터테인먼트,송해성,강동원,이나영,윤여정
284,포세이돈,미국,워너브러더스 코리아(주),볼프강 페터젠,커트 러셀,조쉬 루카스,
